cont_id,cont_type,lost_unit_id,unit_type,valid_from
C_G5,unit_trip,G5,SG,base
C_G6,unit_trip,G6,SG,base
C_G11,unit_trip,G11,SG,base
C_G12,unit_trip,G12,SG,base
C_G14,unit_trip,G14,SG,base
C_G20,unit_trip,G20,SG,base
C_G21,unit_trip,G21,SG,base
C_G22,unit_trip,G22,SG,base
C_G25,unit_trip,G25,SG,base
C_G26,unit_trip,G26,SG,base
C_G28,unit_trip,G28,SG,base
C_G29a,unit_trip,G29a,SG,base
C_G29b,unit_trip,G29b,SG,base
C_G30a,unit_trip,G30a,SG,base
C_G30b,unit_trip,G30b,SG,base
C_G37,unit_trip,G37,SG,base
C_G39,unit_trip,G39,SG,base
C_G40a,unit_trip,G40a,SG,base
C_G40b,unit_trip,G40b,SG,base
C_G45a,unit_trip,G45a,SG,base
C_G45b,unit_trip,G45b,SG,base
C_G46,unit_trip,G46,SG,base
C_G51,unit_trip,G51,SG,base
C_IBR_G30a,unit_trip,IBR_G30a,IBR,34
C_IBR_G30b,unit_trip,IBR_G30b,IBR,34
C_IBR_G37,unit_trip,IBR_G37,IBR,34
C_IBR_G5,unit_trip,IBR_G5,IBR,34
C_IBR_G12,unit_trip,IBR_G12,IBR,70
C_IBR_G28,unit_trip,IBR_G28,IBR,70
C_IBR_G29a,unit_trip,IBR_G29a,IBR,70
C_IBR_G29b,unit_trip,IBR_G29b,IBR,70
C_IBR_G45a,unit_trip,IBR_G45a,IBR,70
C_IBR_G45b,unit_trip,IBR_G45b,IBR,70
C_IBR_G40a,unit_trip,IBR_G40a,IBR,97
C_IBR_G40b,unit_trip,IBR_G40b,IBR,97
C_IBR_G25,unit_trip,IBR_G25,IBR,97
C_IBR_G21,unit_trip,IBR_G21,IBR,97
C_IBR_G11,unit_trip,IBR_G11,IBR,97
C_IBR_G26,unit_trip,IBR_G26,IBR,97
C_IBR_G46,unit_trip,IBR_G46,IBR,97
C_IBR_G6,unit_trip,IBR_G6,IBR,97
C_G38,unit_trip,G38,SG,base
C_G31,unit_trip,G31,SG,base
C_G2,unit_trip,G2,SG,base
C_G16,unit_trip,G16,SG,base
C_G15,unit_trip,G15,SG,base
C_G49,unit_trip,G49,SG,base
C_G23,unit_trip,G23,SG,base
C_G24,unit_trip,G24,SG,base
C_G10,unit_trip,G10,SG,base
C_G48,unit_trip,G48,SG,base
C_G1,unit_trip,G1,SG,base
C_G9,unit_trip,G9,SG,base
C_G36,unit_trip,G36,SG,base
C_G7,unit_trip,G7,SG,base
C_G50,unit_trip,G50,SG,base
C_G34,unit_trip,G34,SG,base
C_G32,unit_trip,G32,SG,base
C_G52,unit_trip,G52,SG,base
C_G17,unit_trip,G17,SG,base
C_G54,unit_trip,G54,SG,base
C_G42,unit_trip,G42,SG,base
C_G19,unit_trip,G19,SG,base
C_G13,unit_trip,G13,SG,base
C_G44,unit_trip,G44,SG,base
C_G53,unit_trip,G53,SG,base
C_G43,unit_trip,G43,SG,base
C_G8,unit_trip,G8,SG,base
C_G41,unit_trip,G41,SG,base
C_G35,unit_trip,G35,SG,base
C_G3,unit_trip,G3,SG,base
C_G4,unit_trip,G4,SG,base
C_G33,unit_trip,G33,SG,base
C_G27,unit_trip,G27,SG,base
C_G18,unit_trip,G18,SG,base
C_G47,unit_trip,G47,SG,base
