ibr_id,bus,type,S_rated_MVA,p_max,p_min,q_max,q_min,in_fr_set,fr_mode,hvirt_max,tau_resp,delivery_time,sustain_time,energy_available,cost_p_a,cost_p_b,cost_p_c,cost_r,penetration_level,replaces_sg
IBR_G30a,69,GFM,622.1052631578948,591.0,0,298.6105263157895,-298.6105263157895,True,VSG,7.0,0.1,0.1,10,0.2592105263157895,0,20.6067536,0,10.0,34,G30a
IBR_G30b,69,GFL,622.1052631578948,591.0,0,298.6105263157895,-298.6105263157895,True,droop,0.0,0.1,0.1,10,0.2592105263157895,0,20.6067536,0,10.0,34,G30b
IBR_G37,80,GFM,535.7894736842105,509.0,0,257.17894736842106,-257.17894736842106,True,VSG,7.0,0.1,0.1,10,0.2232456140350877,0,19.6806176,0,10.0,34,G37
IBR_G5,10,GFL,531.578947368421,505.0,0,255.15789473684208,-255.15789473684208,True,droop,0.0,0.1,0.1,10,0.2214912280701754,0,19.986736,0,10.0,34,G5
IBR_G12,26,GFM,510.5263157894736,485.0,0,245.0526315789473,-245.0526315789473,True,VSG,7.0,0.1,0.1,10,0.212719298245614,0,17.776784,0,10.0,70,G12
IBR_G28,65,GFL,464.2105263157895,441.0,0,222.8210526315789,-222.8210526315789,True,droop,0.0,0.1,0.1,10,0.1934210526315789,0,27.825422400000008,0,10.0,70,G28
IBR_G29a,66,GFM,412.6315789473685,392.0,0,198.06315789473683,-198.06315789473683,True,VSG,7.0,0.1,0.1,10,0.1719298245614035,0,26.13502480000001,0,10.0,70,G29a
IBR_G29b,66,GFL,412.6315789473685,392.0,0,198.06315789473683,-198.06315789473683,True,droop,0.0,0.1,0.1,10,0.1719298245614035,0,26.13502480000001,0,10.0,70,G29b
IBR_G45a,100,GFM,343.6842105263158,326.5,0,164.96842105263156,-164.96842105263156,True,VSG,7.0,0.1,0.1,10,0.1432017543859649,0,10.089736,0,10.0,70,G45a
IBR_G45b,100,GFL,343.6842105263158,326.5,0,164.96842105263156,-164.96842105263156,True,droop,0.0,0.1,0.1,10,0.1432017543859649,0,10.089736,0,10.0,70,G45b
IBR_G40a,89,GFM,335.2631578947369,318.5,0,160.9263157894737,-160.9263157894737,True,VSG,7.0,0.1,0.1,10,0.1396929824561403,0,19.6840816,0,10.0,97,G40a
IBR_G40b,89,GFL,335.2631578947369,318.5,0,160.9263157894737,-160.9263157894737,True,droop,0.0,0.1,0.1,10,0.1396929824561403,0,19.6840816,0,10.0,97,G40b
IBR_G25,59,GFM,324.2105263157895,308.0,0,155.62105263157895,-155.62105263157895,True,VSG,7.0,0.1,0.1,10,0.1350877192982456,0,19.8894944,0,10.0,97,G25
IBR_G21,49,GFL,234.7368421052632,223.0,0,112.67368421052632,-112.67368421052632,True,droop,0.0,0.1,0.1,10,0.0978070175438596,0,13.3391536,0,10.0,97,G21
IBR_G11,25,GFM,232.63157894736844,221.0,0,111.66315789473684,-111.66315789473684,True,VSG,7.0,0.1,0.1,10,0.0969298245614035,0,23.158656800000003,0,10.0,97,G11
IBR_G26,61,GFL,205.26315789473685,195.0,0,98.52631578947368,-98.52631578947368,True,droop,0.0,0.1,0.1,10,0.0855263157894736,0,12.844833600000001,0,10.0,97,G26
IBR_G46,103,GFM,113.6842105263158,108.0,0,54.56842105263158,-54.56842105263158,True,VSG,7.0,0.1,0.1,10,0.0473684210526315,0,22.9195768,0,10.0,97,G46
IBR_G6,12,GFL,89.47368421052632,85.0,0,42.94736842105263,-42.94736842105263,True,droop,0.0,0.1,0.1,10,0.0372807017543859,0,99.6652512,0,10.0,97,G6
