gen_id,bus,p_max,p_min,q_max,q_min,H_g,R_g,K_droop,r_gov_max,cost_p_a,cost_p_b,cost_p_c,cost_r
G1,1,0.0,0.0,15.0,-5.0,3.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0
G2,4,0.0,0.0,300.0,-300.0,3.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0
G3,6,0.0,0.0,50.0,-13.0,3.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0
G4,8,0.0,0.0,300.0,-300.0,3.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0
G5,10,505.0,0.0,200.0,-147.0,3.5,0.05,202.0,50.5,0.0,24.983420000000002,0.0,0.0
G6,12,85.0,0.0,43.0,-35.0,3.5,0.05,34.0,8.5,0.0,124.581564,0.0,0.0
G7,15,0.0,0.0,30.0,-10.0,3.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0
G8,18,0.0,0.0,50.0,-16.0,3.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0
G9,19,0.0,0.0,24.0,-8.0,3.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0
G10,24,0.0,0.0,300.0,-300.0,3.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0
G11,25,221.0,0.0,111.0,-47.0,3.5,0.05,88.4,22.1,0.0,28.948321,0.0,0.0
G12,26,485.0,0.0,243.00000000000003,-243.00000000000003,3.5,0.05,194.0,48.5,0.0,22.22098,0.0,0.0
G13,27,0.0,0.0,300.0,-300.0,3.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0
G14,31,17.0,0.0,9.0,-9.0,3.5,0.05,6.800000000000001,1.7000000000000002,0.0,25.993982000000003,0.0,0.0
G15,32,0.0,0.0,42.0,-14.000000000000002,3.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0
G16,34,0.0,0.0,24.0,-8.0,3.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0
G17,36,0.0,0.0,24.0,-8.0,3.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0
G18,40,0.0,0.0,300.0,-300.0,3.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0
G19,42,0.0,0.0,300.0,-300.0,3.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0
G20,46,20.0,0.0,10.0,-10.0,3.5,0.05,8.0,2.0,0.0,24.202306,0.0,0.0
G21,49,223.0,0.0,112.0,-85.0,3.5,0.05,89.2,22.3,0.0,16.673942,0.0,0.0
G22,54,53.0,0.0,27.0,-27.0,3.5,0.05,21.200000000000003,5.300000000000001,0.0,27.277343000000002,0.0,0.0
G23,55,0.0,0.0,23.0,-8.0,3.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0
G24,56,0.0,0.0,15.0,-8.0,3.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0
G25,59,308.0,0.0,154.0,-60.0,3.5,0.05,123.2,30.8,0.0,24.861868,0.0,0.0
G26,61,195.0,0.0,98.0,-98.0,3.5,0.05,78.0,19.5,0.0,16.056042,0.0,0.0
G27,62,0.0,0.0,20.0,-20.0,3.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0
G28,65,441.0,0.0,200.0,-67.0,3.5,0.05,176.4,44.1,0.0,34.781778,0.0,0.0
G29a,66,392.0,0.0,100.0,-33.5,3.5,0.05,156.8,39.2,0.0,32.668781,0.0,0.0
G29b,66,392.0,0.0,100.0,-33.5,3.5,0.05,156.8,39.2,0.0,32.668781,0.0,0.0
G30a,69,591.0,0.0,150.0,-150.0,3.5,0.05,236.4,59.1,0.0,25.758442,0.0,0.0
G30b,69,591.0,0.0,150.0,-150.0,3.5,0.05,236.4,59.1,0.0,25.758442,0.0,0.0
G31,70,0.0,0.0,32.0,-10.0,3.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0
G32,72,0.0,0.0,100.0,-100.0,3.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0
G33,73,0.0,0.0,100.0,-100.0,3.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0
G34,74,0.0,0.0,9.0,-6.0,3.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0
G35,76,0.0,0.0,23.0,-8.0,3.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0
G36,77,0.0,0.0,70.0,-20.0,3.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0
G37,80,509.0,0.0,255.0,-165.0,3.5,0.05,203.6,50.900000000000006,0.0,24.600772000000003,0.0,0.0
G38,85,0.0,0.0,23.0,-8.0,3.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0
G39,87,10.0,0.0,5.0,-5.0,3.5,0.05,4.0,1.0,0.0,34.072633,0.0,0.0
G40a,89,318.5,0.0,150.0,-105.0,3.5,0.05,127.4,31.85,0.0,24.605102000000002,0.0,0.0
