gen_id,bus,Sn_MVA,H_s,D_pu,R_s,X_d,X_q,X_d_prime,X_q_prime,X_d_pp,X_q_pp,T_d0_prime,T_q0_prime,T_d0_pp,T_q0_pp,X_l,S_10,S_12,avr_Ka,avr_Ta,avr_Tb,gov_R,gov_T1,gov_T2,gov_T3,gov_Dt
G6a,69,508.07017543859655,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G6b,69,508.07017543859655,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G6c,69,508.07017543859655,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G7,76,194.73684210526318,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G8,77,378.94736842105266,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G9,80,97.89473684210527,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G10,88,207.3684210526316,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G11a,98,537.1052631578948,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G11b,98,537.1052631578948,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G11c,98,537.1052631578948,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
